代码,映射,流向,物理位置1,物理位置2,位置1适用时间,位置2适用时间,月台1,月台2
574W,W,鄞州,三号库前排,二号库前排,7:0600or1-7:1230,2-6:0600,,
S574WJ,SX,顺心,三号库前排,,all,,,
574DJK,1,航泰路,三号库前排,,all,,,
574DJCK,1,航泰路,三号库前排,,all,,,
574GCAL,12,江口,三号库后排,,all,,,
574CJL,11,高桥,三号库后排,,all,,,
574TJL,10,邱隘,三号库后排,一号库前排A3-A5卡位,all,2-6:0600,,
574WA,C,余姚,四号库前排,一号库前排A1-A2卡位,7:0600or1-7:1230,2-6:0600,,
574TPN,25,太平鸟,四号库前排,,all,,,
574ZPWA,26,余姚直派,四号库前排,,all,,,
580ZHB,0,定海,四号库前排,,all,,,
574NJL,2,周巷,四号库前排,,all,,,
574DQL,4,春晓,四号库前排,一号库前排A9-A10,all,2-6:0600,,
580VA,5,舟山,四号库前排,,all,,,
574KAJL,⑥,杭州湾,四号库前排,,all,,,
574KGCL,7,坎墩,四号库前排,,all,,,
580ZHA,8,函景湾,四号库前排,,all,,,
580ZHE,9,陆巷,四号库前排,,all,,,
574NKL,27,周邵,四号库后排24号卡位,一号库前排A12,7:0600or1-7:1230,2-6:0600,,
574N9000,24,方太,,,,,,
574BJL,23,江北,四号库后排,,all,,,
574N003,28,酷乐潮玩,二号库B1-B2卡位,,all,,,
574JAJL,22,庄市,四号库后排,,all,,,
580J,21,六横,四号库后排,,all,,,
574DJH,20,舜宇,四号库后排,二号库前排NC分拣区旁,all,2-6:0600,,
574DJCA,19,东陈,四号库后排,,all,,,
574UJL,18,梅林,四号库后排,,all,,,
574QJL,17,黄坛,四号库后排,一号库前排A7-A8卡位,7:0600or1-7:1230,2-6:0600,,
574DJM,16,东钱湖,四号库后排,,all,,,
574LAH,15,盛莫路,四号库后排,,all,,,
574DJL,14,渤海,四号库后排,,all,,,
574FJL,13,景江,四号库后排,,all,,,
574KZP,三,龙山,一号库后排,一号库前排,1-7:0600,1-7:1230,,
574DJCD,三,龙山,一号库后排,一号库前排,1-7:0600,1-7:1230,,
574KDL,三,龙山,一号库后排,一号库前排,1-7:0600,1-7:1230,,
